Fecha,Cantidad
2016-08-16,102
2016-08-17,73
2016-08-18,110
2016-08-19,99
2016-08-20,91
2016-08-21,68
2016-08-22,85
2016-08-23,81
2016-08-24,77
2016-08-25,84
2016-08-26,87
2016-08-27,98
2016-08-28,83
2016-08-29,83
2016-08-30,90
2016-08-31,84
2016-09-01,76
2016-09-02,73
2016-09-03,126
2016-09-04,91
2016-09-05,72
2016-09-06,85
2016-09-07,96
2016-09-08,81
2016-09-09,101
2016-09-10,100
2016-09-11,98
2016-09-12,92
2016-09-13,81
2016-09-14,103
2016-09-15,85
2016-09-16,101
2016-09-17,114
2016-09-18,95
2016-09-19,81
2016-09-20,89
2016-09-21,71
2016-09-22,93
2016-09-23,73
2016-09-24,83
2016-09-25,80
2016-09-26,98
2016-09-27,79
2016-09-28,82
2016-09-29,88
2016-09-30,78
2016-10-01,82
2016-10-02,84
2016-10-03,88
2016-10-04,85
2016-10-05,83
2016-10-06,78
2016-10-07,67
2016-10-08,87
2016-10-09,103
2016-10-10,89
2016-10-11,76
2016-10-12,90
2016-10-13,93
2016-10-14,84
2016-10-15,85
2016-10-16,77
2016-10-17,90
2016-10-18,89
2016-10-19,85
2016-10-20,100
2016-10-21,93
2016-10-22,93
2016-10-23,82
2016-10-24,101
2016-10-25,68
2016-10-26,88
2016-10-27,97
2016-10-28,93
2016-10-29,88
2016-10-30,72
2016-10-31,86
2016-11-01,77
2016-11-02,102
2016-11-03,90
2016-11-04,74
2016-11-05,95
2016-11-06,80
2016-11-07,73
2016-11-08,97
2016-11-09,75
2016-11-10,102
2016-11-11,70
2016-11-12,66
2016-11-13,82
2016-11-14,61
2016-11-15,95
2016-11-16,77
2016-11-17,100
2016-11-18,77
2016-11-19,74
2016-11-20,85
2016-11-21,91
2016-11-22,83
2016-11-23,93
2016-11-24,91
2016-11-25,83
2016-11-26,77
2016-11-27,67
2016-11-28,97
2016-11-29,88
2016-11-30,72
2016-12-01,85
2016-12-02,80
2016-12-03,69
2016-12-04,83
2016-12-05,89
2016-12-06,91
2016-12-07,79
2016-12-08,97
2016-12-09,107
2016-12-10,94
2016-12-11,90
2016-12-12,82
2016-12-13,70
2016-12-14,82
2016-12-15,85
2016-12-16,104
2016-12-17,96
2016-12-18,75
2016-12-19,88
2016-12-20,79
2016-12-21,88
2016-12-22,91
2016-12-23,101
2016-12-24,77
2016-12-25,65
2016-12-26,73
2016-12-27,68
2016-12-28,103
2016-12-29,119
2016-12-30,90
2016-12-31,77
2017-01-01,94
2017-01-02,75
2017-01-03,81
2017-01-04,77
2017-01-05,58
2017-01-06,55
2017-01-07,67
2017-01-08,77
2017-01-09,66
2017-01-10,88
2017-01-11,106
2017-01-12,84
2017-01-13,95
2017-01-14,86
2017-01-15,79
2017-01-16,85
2017-01-17,90
2017-01-18,90
2017-01-19,91
2017-01-20,68
2017-01-21,97
2017-01-22,81
2017-01-23,83
2017-01-24,81
2017-01-25,74
2017-01-26,81
2017-01-27,78
2017-01-28,89
2017-01-29,78
2017-01-30,83
2017-01-31,72
2017-02-01,75
2017-02-02,62
2017-02-03,86
2017-02-04,78
2017-02-05,63
2017-02-06,76
2017-02-07,64
2017-02-08,79
2017-02-09,89
2017-02-10,62
2017-02-11,74
2017-02-12,70
2017-02-13,74
2017-02-14,83
2017-02-15,87
2017-02-16,82
2017-02-17,67
2017-02-18,62
2017-02-19,90
2017-02-20,69
2017-02-21,86
2017-02-22,90
2017-02-23,70
2017-02-24,80
2017-02-25,83
2017-02-26,72
2017-02-27,67
2017-02-28,72
2017-03-01,75
2017-03-02,84
2017-03-03,78
2017-03-04,57
2017-03-05,47
2017-03-06,73
2017-03-07,99
2017-03-08,63
